exam_i,exam_j
1,3
1,4
1,6
1,7
1,12
1,13
1,15
1,20
1,22
1,23
1,25
1,27
1,28
1,30
1,34
1,35
1,36
1,37
1,38
1,42
1,44
1,45
1,46
1,47
1,50
1,51
1,52
1,53
1,55
1,57
1,59
1,61
1,64
1,69
1,70
1,73
1,74
1,76
1,78
1,81
1,82
1,85
1,86
1,87
2,3
2,4
2,5
2,7
2,9
2,11
2,13
2,14
2,15
2,16
2,18
2,19
2,21
2,22
2,25
2,27
2,31
2,32
2,33
2,36
2,38
2,40
2,42
2,43
2,44
2,46
2,47
2,50
2,51
2,52
2,53
2,54
2,55
2,59
2,60
2,65
2,67
2,68
2,69
2,70
2,73
2,75
2,76
2,78
2,79
2,83
2,84
2,85
3,4
3,6
3,11
3,12
3,14
3,21
3,24
3,28
3,32
3,34
3,35
3,36
3,37
3,38
3,39
3,42
3,46
3,48
3,49
3,51
3,52
3,56
3,57
3,58
3,60
3,62
3,63
3,64
3,65
3,67
3,68
3,73
3,76
3,81
3,82
3,85
3,86
3,87
4,6
4,8
4,11
4,17
4,19
4,21
4,22
4,23
4,24
4,25
4,28
4,30
4,33
4,35
4,39
4,42
4,45
4,46
4,48
4,49
4,51
4,53
4,54
4,55
4,56
4,57
4,58
4,60
4,61
4,63
4,64
4,65
4,70
4,76
4,77
4,78
4,80
4,82
4,83
4,84
4,86
5,6
5,7
5,10
5,11
5,13
5,14
5,16
5,17
5,19
5,20
5,22
5,23
5,25
5,26
5,28
5,30
5,33
5,36
5,38
5,39
5,42
5,45
5,46
5,48
5,49
5,50
5,51
5,54
5,56
5,60
5,62
5,63
5,65
5,68
5,72
5,75
5,76
5,77
5,80
5,81
5,83
5,84
6,7
6,8
6,10
6,11
6,14
6,15
6,18
6,20
6,21
6,22
6,27
6,31
6,32
6,33
6,34
6,35
6,36
6,37
6,39
6,40
6,41
6,43
6,44
6,45
6,46
6,47
6,50
6,52
6,53
6,55
6,56
6,57
6,58
6,60
6,61
6,66
6,75
6,76
6,80
6,84
6,85
7,8
7,10
7,12
7,14
7,15
7,17
7,18
7,20
7,21
7,25
7,26
7,28
7,30
7,31
7,35
7,37
7,38
7,39
7,40
7,44
7,45
7,48
7,49
7,50
7,51
7,53
7,54
7,55
7,56
7,58
7,59
7,60
7,61
7,66
7,70
7,75
7,76
7,77
7,79
7,80
7,83
7,84
7,86
7,87
8,10
8,12
8,16
8,18
8,19
8,22
8,24
8,26
8,28
8,29
8,32
8,33
8,34
8,35
8,36
8,38
8,40
8,42
8,46
8,47
8,48
8,51
8,54
8,58
8,63
8,64
8,65
8,66
8,67
8,69
8,75
8,80
8,81
8,83
9,10
9,11
9,12
9,14
9,20
9,22
9,23
9,24
9,29
9,30
9,32
9,34
9,36
9,37
9,38
9,39
9,41
9,43
9,44
9,45
9,46
9,47
9,54
9,57
9,58
9,59
9,60
9,62
9,64
9,65
9,67
9,69
9,71
9,73
9,74
9,77
9,78
9,79
9,81
9,86
9,87
10,14
10,15
10,16
10,17
10,21
10,22
10,23
10,25
10,26
10,28
10,34
10,35
10,37
10,38
10,39
10,40
10,44
10,46
10,47
10,48
10,49
10,50
10,52
10,54
10,55
10,57
10,60
10,61
10,66
10,67
10,68
10,71
10,74
10,75
10,76
10,78
10,81
10,82
10,86
11,13
11,15
11,16
11,19
11,21
11,22
11,25
11,26
11,27
11,29
11,32
11,33
11,34
11,35
11,37
11,38
11,40
11,43
11,46
11,47
11,50
11,52
11,53
11,54
11,57
11,58
11,59
11,60
11,62
11,65
11,67
11,69
11,71
11,73
11,75
11,76
11,77
11,79
11,82
11,83
11,85
11,87
12,16
12,17
12,20
12,21
12,22
12,24
12,25
12,26
12,29
12,31
12,32
12,36
12,38
12,39
12,40
12,41
12,43
12,45
12,46
12,47
12,48
12,51
12,55
12,58
12,59
12,63
12,66
12,68
12,73
12,76
12,78
12,80
12,81
12,82
12,84
12,85
13,17
13,22
13,23
13,25
13,28
13,29
13,31
13,34
13,35
13,39
13,40
13,41
13,42
13,44
13,45
13,46
13,47
13,48
13,57
13,58
13,62
13,63
13,64
13,65
13,66
13,68
13,75
13,76
13,77
13,79
13,80
13,81
13,82
13,83
13,85
13,86
13,87
14,22
14,23
14,25
14,27
14,31
14,32
14,33
14,35
14,36
14,38
14,39
14,41
14,44
14,45
14,46
14,47
14,48
14,51
14,52
14,53
14,55
14,56
14,57
14,58
14,60
14,61
14,63
14,65
14,66
14,70
14,71
14,73
14,77
14,78
14,79
14,81
14,83
14,85
14,86
15,20
15,22
15,23
15,25
15,29
15,30
15,32
15,33
15,34
15,36
15,37
15,38
15,42
15,47
15,49
15,50
15,52
15,54
15,58
15,63
15,65
15,70
15,72
15,76
15,80
15,81
15,83
15,85
16,18
16,19
16,20
16,26
16,28
16,30
16,33
16,34
16,35
16,36
16,38
16,39
16,43
16,45
16,46
16,47
16,48
16,50
16,51
16,52
16,53
16,54
16,56
16,59
16,61
16,64
16,65
16,67
16,68
16,69
16,70
16,78
16,79
16,82
16,85
16,87
17,18
17,20
17,21
17,27
17,29
17,30
17,31
17,32
17,34
17,37
17,40
17,47
17,50
17,53
17,54
17,55
17,57
17,59
17,61
17,63
17,67
17,70
17,74
17,77
17,78
17,79
17,81
17,83
17,86
17,87
18,19
18,23
18,24
18,25
18,26
18,27
18,28
18,29
18,30
18,31
18,33
18,35
18,36
18,39
18,42
18,44
18,49
18,50
18,52
18,56
18,57
18,60
18,61
18,65
18,66
18,67
18,71
18,74
18,77
18,81
18,83
18,84
18,85
18,86
19,20
19,22
19,23
19,26
19,28
19,29
19,31
19,35
19,38
19,44
19,48
19,55
19,56
19,57
19,64
19,69
19,70
19,73
19,76
19,78
19,79
19,82
19,83
19,85
19,86
20,21
20,22
20,23
20,25
20,27
20,29
20,32
20,34
20,35
20,37
20,39
20,40
20,41
20,42
20,44
20,49
20,51
20,52
20,53
20,55
20,58
20,59
20,60
20,66
20,68
20,69
20,71
20,75
20,77
20,79
20,80
20,81
20,83
20,84
20,86
